of/IN matters/NNS on/IN constitutionality/NN
other/JJ members/NNS on/IN the/DT western/JJ
was/VBD produced/VBN on/IN the/DT united/VBN
economic/JJ policies/NNS on/IN the/DT budget/NN
amount/NN needed/VBN on/IN fiscal/JJ just/RB
on/IN contrast/NN the/DT
the/DT backs/NNS on/IN americans/NNS who/WP
a/DT lot/NN on/IN our/PRP$ friends/NNS
other/JJ side/NN on/IN the/DT aisle/NN
a/DT lot/NN on/IN our/PRP$ friends/NNS
eliminate/VB one/CD on/IN the/DT most/RBS
housing/NN programs/NNS on/IN this/DT country/NN
other/JJ side/NN on/IN the/DT aisle/NN
other/JJ side/NN on/IN the/DT aisle/NN
the/DT prevailing/VBG on/IN these/DT tax/NN
the/DT truth/NN on/IN the/DT matter/NN
supply/NN something/NN on/IN which/WDT every/DT
for/IN some/DT on/IN the/DT disabled/JJ
the/DT edge/NN on/IN poverty/NN
in/IN implementation/NN on/IN the/DT country/NN
implementing/VBG country/NN on/IN origin/NN labeling/VBG
restores/VBZ million/CD on/IN funds/NNS under/IN
for/IN authority/NN on/IN order/NN to/TO
labeling/VBG that/DT on/IN fact/NN ultimately/RB
the/DT risks/NNS on/IN some/DT on/IN
on/IN some/DT on/IN the/DT products/NNS
of/IN implementation/NN on/IN country/NN in/IN
administration/NN that/WDT on/IN fact/NN we/PRP
our/PRP$ forests/NNS on/IN connecticut/NN are/VBP
the/DT implementation/NN on/IN the/DT countryoforigin/NN
the/DT point/NN on/IN order/NN
whole/JJ variety/NN on/IN measures/NNS and/CC
other/JJ side/NN on/IN the/DT aisle/NN
balanced/JJ budgets/NNS on/IN the/DT late/JJ
other/JJ side/NN on/IN the/DT aisle/NN
raising/VBG billion/CD on/IN new/JJ taxes/NNS
a/DT matter/NN on/IN fact/NN but/CC
that/IN many/JJ on/IN you/PRP are/VBP
the/DT expense/NN on/IN other/JJ indian/JJ
pete/NN modaff/NN on/IN my/PRP$ staff/NN
their/PRP$ part/NN on/IN helping/VBG to/TO
healthy/JJ majority/NN on/IN the/DT house/NN
have/VB minutes/NNS on/IN the/DT minutes/NNS
a/DT subject/NN on/IN this/DT importance/NN
the/DT billions/NNS on/IN dollars/NNS on/IN
on/IN dollars/NNS on/IN tax/NN givebacks/NNS
two/CD examples/NNS on/IN why/WRB i/FW
this/DT kind/NN on/IN challenge/NN as/IN
billion/CD cut/NN on/IN veterans/NNS programs/NNS
health/NN care/NN on/IN our/PRP$ va/NN
and/CC sacrifice/NN on/IN our/PRP$ veterans/NNS
both/DT sides/NNS on/IN the/DT aisle/NN
the/DT slap/NN on/IN the/DT face/NN
the/DT face/NN on/IN millions/NNS in/IN
the/DT wealthiest/JJS on/IN our/PRP$ society/NN
dividend/NN income/NN on/IN million/CD this/DT
hard/JJ work/NN on/IN your/PRP$ colleagues/NNS
my/PRP$ hometown/NN on/IN texas/NNS this/DT
every/DT dime/NN on/IN the/DT tax/NN
my/PRP$ area/NN on/IN michigan/NN not/RB
but/CC on/IN fact/NN it/PRP
this/DT results/NNS on/IN a/DT good/JJ
good/JJ deal/NN on/IN problems/NNS that/IN
been/VBN involved/VBN on/IN discussions/NNS with/IN
the/DT rest/NN on/IN us/PRP that/IN
largest/JJS deficits/NNS on/IN history/NN all/PDT
in/IN top/NN on/IN the/DT record/NN
and/CC trillion/CD on/IN additional/JJ debt/NN
the/DT issue/NN on/IN funding/NN for/IN
the/DT dark/NN on/IN night/NN mark/NN
the/DT will/MD on/IN the/DT bipartisan/JJ
humphreyhawkins/NNS side/NN on/IN this/DT debate/NN
was/VBD not/RB on/IN our/PRP$ choosing/NN
the/DT path/NN on/IN economic/JJ growth/NN
a/DT couple/NN on/IN points/NNS i/FW
be/VB made/VBN on/IN response/NN to/TO
despite/IN all/DT on/IN the/DT problems/NNS
relief/NN policies/NNS on/IN the/DT past/JJ
other/JJ side/NN on/IN the/DT aisle/NN
annual/JJ performance/NN on/IN years/NNS one/CD
years/NNS one/CD on/IN the/DT strongest/JJS
a/DT path/NN on/IN high/JJ growth/NN
to/TO put/VB on/IN place/NN fiscal/JJ
the/DT economy/NN on/IN the/DT right/JJ
longterm/JJ health/NN on/IN the/DT social/JJ
the/DT rate/NN on/IN return/NN within/IN
the/DT result/NN on/IN the/DT gridlock/NN
last/JJ election/NN on/IN which/WDT the/DT
health/NN because/IN on/IN the/DT gridlock/NN
gridlock/NN implicit/JJ on/IN the/DT rules/NNS
can/MD think/VB on/IN a/DT lot/NN
money/NN in/IN on/IN the/DT federal/JJ
budget/NN pressures/NNS on/IN their/PRP$ own/JJ
and/CC endorsed/VBN on/IN president/NN bush/NN
growing/VBG sector/NN on/IN the/DT ocean/NN
take/VB advantage/NN on/IN that/DT opportunity/NN
uphold/VB decades/NNS on/IN bipartisan/JJ agreement/NN
in/IN both/DT on/IN them/PRP
and/CC information/NN on/IN more/JJR than/IN
the/DT nation/NN on/IN order/NN to/TO
aquatic/JJ ecosystems/NNS on/IN support/NN on/IN
on/IN support/NN on/IN sound/JJ management/NN
to/TO do/VB on/IN the/DT coming/VBG
this/DT culture/NN on/IN spending/NN
the/DT end/NN on/IN the/DT day/NN
other/JJ side/NN on/IN the/DT aisle/NN
a/DT matter/NN on/IN fact/NN if/IN
page/NN line/NN on/IN that/IN it/PRP
every/DT one/CD on/IN them/PRP is/VBZ
separate/JJ set/NN on/IN regulations/NNS for/IN
comply/VB with/IN on/IN order/NN to/TO
i/FW offered/VBN on/IN the/DT committee/NN
each/DT year/NN on/IN this/DT country/NN
later/RB in/IN on/IN japan/NN he/PRP
i/FW rise/NN on/IN support/NN in/IN
budget/NN but/CC on/IN all/DT honesty/NN
not/RB part/NN on/IN this/DT budget/NN
in/IN us/PRP on/IN fact/NN i/FW
success/NN story/NN on/IN this/DT country/NN
a/DT member/NN on/IN the/DT committee/NN
billion/CD outs/NNS on/IN medicaid/NN
air/NN toxics/NNS on/IN east/JJ harris/NNS
which/WDT lies/VBZ on/IN the/DT district/NN
on/IN particular/JJ the/DT
folks/NNS residing/VBG on/IN some/DT on/IN
on/IN some/DT on/IN houston/NN s/VBZ
the/DT quality/NN on/IN the/DT air/NN
the/DT city/NN on/IN houston/NN partnering/VBG
the/DT university/NN on/IN texas/NNS school/NN
texas/NNS school/NN on/IN public/JJ health/NN
it/PRP reined/VBD on/IN spending/NN of/IN
the/DT backs/NNS on/IN the/DT poor/JJ
in/IN behalf/NN on/IN the/DT republican/JJ
a/DT number/NN on/IN enforcement/NN mechanisms/NNS
s/VBZ definition/NN on/IN fiscal/JJ responsibility/NN
other/JJ side/NN on/IN the/DT aisle/NN
the/DT growth/NN on/IN federal/JJ government/NN
they/PRP are/VBP on/IN complete/JJ control/NN
complete/JJ control/NN on/IN the/DT budget/NN
chairman/NN first/RB on/IN all/DT let/VB
to/TO engender/VB on/IN them/PRP a/DT
a/DT result/NN on/IN the/DT failure/NN
the/DT failure/NN on/IN this/DT congress/NN
for/IN example/NN on/IN the/DT case/NN
the/DT case/NN on/IN vioxx/NN once/RB
offlabel/NN marketing/NN on/IN that/DT drug/NN
was/VBD not/RB on/IN a/DT position/NN
to/TO engage/VB on/IN an/DT educational/JJ
later/RB of/IN on/IN the/DT debate/NN
the/DT members/NNS on/IN this/DT congress/NN
data/NNS back/RB on/IN it/PRP first/RB
this/DT amendment/NN on/IN order/NN
with/IN them/PRP on/IN an/DT effective/JJ
and/CC security/NN on/IN the/DT american/JJ
this/DT kind/NN on/IN experience/NN has/VBZ
the/DT lives/NNS on/IN tens/NNS on/IN
on/IN tens/NNS on/IN thousands/NNS in/IN
certain/JJ period/NN on/IN time/NN when/WRB
a/DT result/NN on/IN that/DT
the/DT kind/NN on/IN attention/NN that/IN
of/IN behalf/NN on/IN the/DT safety/NN
and/CC effectiveness/NN on/IN drugs/NNS and/CC
direct/JJ conflicts/NNS on/IN interest/NN to/TO
ten/NN on/IN the/DT scientists/NNS
the/DT manufacturers/NNS on/IN those/DT drugs/NNS
the/DT manufacturers/NNS on/IN those/DT antidepressants/NNS
are/VBP living/VBG on/IN a/DT fantasy/NN
the/DT floor/NN on/IN this/DT house/NN
and/CC security/NN on/IN a/DT particular/JJ
are/VBP conflicted/VBN on/IN their/PRP$ interests/NNS
that/DT kind/NN on/IN conflict/NN in/IN
the/DT floor/NN on/IN this/DT house/NN
the/DT case/NN on/IN the/DT drug/NN
of/IN behalf/NN on/IN myself/PRP and/CC
dozens/NNS on/IN studies/NNS have/VBP
the/DT department/NN on/IN education/NN and/CC
the/DT department/NN on/IN labor/NN billion/CD
on/IN calculating/VBG the/DT
use/VBP surpluses/NNS on/IN the/DT social/JJ
the/DT priorities/NNS on/IN the/DT american/JJ
both/DT sides/NNS on/IN the/DT aisle/NN
other/JJ side/NN on/IN the/DT aisle/NN
xz/NN chairman/NN on/IN the/DT committee/NN
history/NN billion/CD on/IN fiscal/JJ year/NN
in/IN November/NNP on/IN a/DT bipartisan/JJ
other/JJ side/NN on/IN the/DT aisle/NN
put/VBN them/PRP on/IN a/DT position/NN
draconian/JJ cuts/NNS on/IN April/NNP and/CC
that/DT side/NN on/IN the/DT aisle/NN
our/PRP$ government/NN on/IN the/DT resources/NNS
of/IN drilling/NN on/IN most/JJS in/IN
be/VB occurring/VBG on/IN the/DT united/VBN
united/VBN states/NNS on/IN america/NN
in/IN drilling/NN on/IN most/JJS in/IN
education/NN disparities/NNS on/IN health/NN
the/DT institute/NN on/IN medicine/NN in/IN
keep/VB us/PRP on/IN line/NN with/IN
education/NN and/CC on/IN course/NN we/PRP
we/PRP were/VBD on/IN the/DT committee/NN
and/CC unfortunately/RB on/IN the/DT bankruptcy/NN
not/RB succeed/VB on/IN supporting/VBG veterans/NNS
the/DT floor/NN on/IN the/DT house/NN
leading/VBG us/PRP on/IN this/DT direction/NN
direction/NN and/CC on/IN course/NN the/DT
be/VB proud/JJ on/IN
so/RB much/RB on/IN this/DT body/NN
the/DT greatness/NN on/IN our/PRP$ armed/JJ
front/NN lines/NNS on/IN our/PRP$ war/NN
dollars/NNS plus/CC on/IN tax/NN cuts/NNS
the/DT floor/NN on/IN the/DT house/NN
the/DT opportunity/NN on/IN putting/VBG that/IN
the/DT list/NN on/IN houston/NN texas/NNS
on/IN the/DT city/NN
take/VB care/NN on/IN them/PRP
ranking/JJ member/NN on/IN the/DT subcommittee/NN
so/RB on/IN connecticut/NN the/DT
the/DT nea/NN on/IN conjunction/NN with/IN
of/IN page/NN on/IN the/DT report/NN
the/DT throes/NNS on/IN more/JJR than/IN
old/JJ hotel/NN on/IN downtown/NN wilkesbarre/NN
exceeds/VBZ million/CD on/IN costs/NNS riverfront/NN
a/DT program/NN on/IN million/CD in/IN
quality/NN problems/NNS on/IN that/DT area/NN
ranking/JJ member/NN on/IN the/DT subcommittee/NN
related/JJ agencies/NNS on/IN the/DT committee/NN
this/DT time/NN on/IN support/NN in/IN
are/VBP part/NN on/IN this/DT appropriations/NNS
the/DT mystery/NN on/IN organic/JJ chemistry/NN
of/IN behalf/NN on/IN those/DT who/WP
in/IN behalf/NN on/IN those/DT without/IN
on/IN addition/NN our/PRP$
the/DT department/NN on/IN homeland/NN security/NN
meeting/VBG some/DT on/IN the/DT critical/JJ
the/DT department/NN on/IN agriculture/NN s/VBZ
modify/VB cuts/NNS on/IN agriculture/NN programs/NNS
the/DT citizens/NNS on/IN the/DT united/VBN
i/FW rise/NN on/IN opposition/NN to/TO
programs/NNS because/IN on/IN the/DT republicanled/JJ
the/DT wars/NNS on/IN iraq/NN and/CC
choices/NNS because/IN on/IN these/DT extraordinarily/RB
help/VBP millions/NNS on/IN americans/NNS should/MD
great/JJ deal/NN on/IN respect/NN for/IN
the/DT chairman/NN on/IN the/DT committee/NN
get/VBP rid/VB on/IN trio/NN and/CC
to/TO china/NN on/IN a/DT couple/NN
a/DT couple/NN on/IN days/NNS of/IN
small/JJ amount/NN on/IN the/DT overall/JJ
realistic/JJ cost/NN on/IN the/DT iraq/NN
we/PRP purchase/VBP on/IN this/DT country/NN
cost/NN component/NN on/IN it/PRP and/CC
more/JJR supply/NN on/IN energy/NN whether/IN
at/IN least/JJS on/IN theory/NN not/RB
renewed/VBN all/DT on/IN those/DT things/NNS
and/CC gulf/NN on/IN mexico/NN
plentiful/JJ supplies/NNS on/IN coal/NN and/CC
some/DT zebra/NN on/IN africa/NN last/JJ
think/VB any/DT on/IN the/DT democrats/NNS
in/IN some/DT on/IN the/DT other/JJ
generates/VBZ million/CD on/IN revenue/NN
will/MD step/VB on/IN the/DT private/JJ
a/DT lot/NN on/IN what/WP they/PRP
are/VBP duplicated/VBN on/IN other/JJ programs/NNS
its/PRP$ tightness/NN on/IN some/DT areas/NNS
the/DT education/NN on/IN our/PRP$ students/NNS
join/VB me/PRP on/IN prioritizing/VBG students/NNS
the/DT loss/NN on/IN federal/JJ funding/NN
major/JJ cutbacks/NNS on/IN the/DT areas/NNS
the/DT areas/NNS on/IN education/NN and/CC
to/TO work/VB on/IN areas/NNS that/WDT
this/DT bill/NN on/IN November/NNP my/PRP$
the/DT areas/NNS on/IN education/NN and/CC
all/DT components/NNS on/IN the/DT ryan/NN
chairman/NN first/RB on/IN all/DT i/FW
program/NN stays/NNS on/IN place/NN
on/IN some/DT cases/NNS
for/IN participation/NN on/IN the/DT advisory/JJ
the/DT attention/NN on/IN my/PRP$ colleagues/NNS
unavoidable/JJ conflicts/NNS on/IN relevant/JJ fields/NNS
acknowledges/VBZ that/IN on/IN order/NN to/TO
borer/NN arrived/VBD on/IN north/NN america/NN
they/PRP do/VBP on/IN working/VBG together/RB
in/IN all/DT on/IN us/PRP to/TO
sense/NN out/RP on/IN our/PRP$ budget/NN
both/DT sides/NNS on/IN the/DT aisle/NN
but/CC on/IN turn/NN over/IN
medical/JJ inaccuracy/NN on/IN their/PRP$ curricula/NN
a/DT member/NN on/IN the/DT joint/JJ
to/TO country/NN on/IN search/NN on/IN
on/IN search/NN on/IN money/NN to/TO
might/MD be/VB on/IN this/DT politically/RB
what/WP on/IN the/DT world/NN
world/NN live/VBP on/IN poverty/NN and/CC
been/VBN killed/VBN on/IN armed/JJ conflicts/NNS
countries/NNS spend/VBP on/IN their/PRP$ annual/JJ
of/IN terror/NN on/IN new/JJ jersey/NN
the/DT street/NN on/IN new/JJ jersey/NN
republican/JJ leadership/NN on/IN this/DT congress/NN
spend/VB billion/CD on/IN tax/NN cuts/NNS
be/VB one/CD on/IN the/DT costliest/JJS
for/IN all/DT on/IN his/PRP$ work/NN
the/DT chairman/NN on/IN the/DT subcommittee/NN
most/RBS on/IN the/DT focus/NN
an/DT issue/NN on/IN national/JJ security/NN
greenspan/NN mentioned/VBN on/IN his/PRP$ recent/JJ
the/DT shoulders/NNS on/IN our/PRP$ children/NNS
that/DT figure/NN on/IN perspective/NN projected/VBN
everlarger/NN share/NN on/IN our/PRP$ annual/JJ
centers/NNS and/CC on/IN our/PRP$ schools/NNS
a/DT member/NN on/IN the/DT committee/NN
red/JJ line/NN on/IN the/DT total/JJ
new/JJ proposal/NN on/IN the/DT strengthening/VBG
forgetting/VBG all/DT on/IN the/DT things/NNS
we/PRP have/VBP on/IN working/VBG in/IN
send/VBP us/PRP on/IN order/NN to/TO
be/VB mindful/JJ on/IN the/DT fact/NN
every/DT dollar/NN on/IN this/DT country/NN
this/DT country/NN on/IN food/NN stamps/NNS
in/IN September/NNP on/IN the/DT war/NN
with/IN all/DT on/IN that/DT
better/JJR job/NN on/IN delivering/VBG the/DT
on/IN addition/NN we/PRP
have/VBP been/VBN on/IN congress/NN willing/JJ
challenging/JJ time/NN on/IN our/PRP$ nation/NN
the/DT president/NN on/IN the/DT united/VBN
the/DT committee/NN on/IN the/DT whole/JJ
the/DT state/NN on/IN the/DT union/NN
final/JJ amendment/NN on/IN the/DT way/NN
the/DT way/NN on/IN a/DT substitute/NN
in/IN September/NNP on/IN we/PRP discovered/VBD
because/RB on/IN all/DT on/IN
on/IN all/DT on/IN that/IN we/PRP
brief/JJ moment/NN on/IN introducing/VBG my/PRP$
in/IN behalf/NN on/IN our/PRP$ side/NN
our/PRP$ side/NN on/IN particular/JJ but/CC
vice/NN chairman/NN on/IN the/DT committee/NN
get/VB out/RP on/IN deficits/NNS to/TO
to/TO freedom/NN on/IN this/DT country/NN
the/DT department/NN on/IN the/DT interior/JJ
for/IN most/JJS on/IN the/DT department/NN
admirable/JJ pace/NN on/IN bringing/VBG bills/NNS
us/PRP department/NN on/IN agriculture/NN and/CC
the/DT effects/NNS on/IN congressional/JJ action/NN
current/JJ levels/NNS on/IN onbudget/JJ spending/NN
the/DT amounts/NNS on/IN spending/NN and/CC
current/JJ levels/NNS on/IN onbudget/JJ spending/NN
fiveyear/JJ period/NN on/IN fiscal/JJ years/NNS
the/DT amounts/NNS on/IN spending/NN and/CC
the/DT effects/NNS on/IN congressional/JJ action/NN
fiveyear/JJ period/NN on/IN fiscal/JJ years/NNS
the/DT amounts/NNS on/IN spending/NN and/CC
current/JJ levels/NNS on/IN onbudget/JJ spending/NN
sections/NNS and/CC on/IN the/DT congressional/JJ
the/DT amounts/NNS on/IN spending/NN and/CC
the/DT effects/NNS on/IN congressional/JJ action/NN
parade/NN but/CC on/IN a/DT sense/NN
to/TO it/PRP on/IN conference/NN so/IN
many/JJ members/NNS on/IN either/DT body/NN
in/IN some/DT on/IN these/DT issues/NNS
the/DT price/NN on/IN republican/JJ tax/NN
year/NN cost/NN on/IN attending/VBG a/DT
in/IN this/DT on/IN order/NN to/TO
a/DT lot/NN on/IN talk/NN of/IN
his/PRP$ leadership/NN on/IN the/DT subcommittee/NN
this/DT country/NN on/IN terms/NNS in/IN
for/IN programs/NNS on/IN this/DT bill/NN
full/JJ entitlement/NN on/IN your/PRP$ first/JJ
the/DT date/NN on/IN application/NN
and/CC on/IN the/DT reconciliation/NN
in/IN top/JJ on/IN this/DT freeze/NN
reconsider/VB some/DT on/IN the/DT mistakes/NNS
are/VBP included/VBN on/IN the/DT majority/NN
that/DT side/NN on/IN the/DT issue/NN
million/CD back/RB on/IN and/CC is/VBZ
step/NN backward/RB on/IN a/DT commitment/NN
for/IN some/DT on/IN the/DT basic/JJ
on/IN listening/VBG to/TO
a/DT lot/NN on/IN expression/NN on/IN
on/IN expression/NN on/IN concern/NN about/IN
deficit/NN and/CC on/IN course/NN i/FW
to/TO voting/VBG on/IN a/DT small/JJ
even/RB conceive/VB on/IN the/DT idea/NN
the/DT idea/NN on/IN having/VBG a/DT
strict/JJ interpretation/NN on/IN the/DT constitution/NN
all/DT join/VB on/IN acknowledging/VBG the/DT
great/JJ leadership/NN on/IN the/DT gentleman/NN
of/IN top/JJ on/IN all/DT on/IN
on/IN all/DT on/IN that/IN the/DT
the/DT solvency/NN on/IN social/JJ security/NN
a/DT statement/NN on/IN our/PRP$ values/NNS
second/JJ year/NN on/IN a/DT row/NN
for/IN it/PRP on/IN the/DT budget/NN
the/DT wall/NN on/IN his/PRP$ office/NN
as/IN evidence/NN on/IN the/DT virus/NN
the/DT members/NNS on/IN the/DT committee/NN
the/DT chairman/NN on/IN the/DT committee/NN
conducted/VBN himself/PRP on/IN the/DT committee/NN
and/CC events/NNS on/IN american/JJ history/NN
because/IN onetenth/NN on/IN percent/NN on/IN
on/IN percent/NN on/IN mandatory/JJ spending/NN
bring/VBP eighttenths/NNS on/IN a/DT percent/NN
the/DT constraints/NNS on/IN a/DT budget/NN
a/DT case/NN on/IN a/DT starving/VBG
the/DT crumbs/NNS on/IN a/DT fiscal/JJ
i/FW rise/NN on/IN support/NN in/IN
resource/NN issues/NNS on/IN importance/NN to/TO
in/IN it/PRP on/IN terms/NNS in/IN
leave/VBP out/RP on/IN it/PRP the/DT
is/VBZ not/RB on/IN the/DT budget/NN
the/DT importance/NN on/IN education/NN if/IN
a/DT standard/NN on/IN living/VBG that/IN
to/TO enjoying/VBG on/IN this/DT country/NN
the/DT case/NN on/IN my/PRP$ state/NN
to/TO countries/NNS on/IN the/DT far/JJ
head/NN start/NN on/IN authorizing/VBG it/PRP
some/DT experience/NN on/IN education/NN that/IN
another/DT example/NN on/IN the/DT compassion/NN
a/DT lot/NN on/IN good/JJ things/NNS
management/NN thinker/NN on/IN the/DT past/JJ
of/IN terms/NNS on/IN helping/VBG people/NNS
think/VB any/DT on/IN us/PRP of/IN
either/DT side/NN on/IN the/DT aisle/NN
an/DT increase/NN on/IN special/JJ education/NN
special/JJ education/NN on/IN million/CD over/IN
other/JJ side/NN on/IN the/DT aisle/NN
to/TO do/VB on/IN this/DT bill/NN
i/FW spoke/VBD on/IN the/DT need/NN
those/DT funds/NNS on/IN the/DT conference/NN
our/PRP$ side/NN on/IN the/DT aisle/NN
we/PRP had/VBD on/IN a/DT more/RBR
have/VBP billions/NNS on/IN dollars/NNS spent/VBN
and/CC vote/VB on/IN a/DT positive/JJ
whole/JJ host/NN on/IN things/NNS that/WDT
several/JJ months/NNS on/IN putting/VBG this/DT
this/DT piece/NN on/IN legislation/NN together/RB
a/DT matter/NN on/IN putting/VBG the/DT
of/IN may/MD on/IN this/DT year/NN
s/VBZ state/NN on/IN durango/NN due/JJ
was/VBD found/VBN on/IN the/DT state/NN
the/DT state/NN on/IN washington/NN that/WDT
hours/NNS for/IN on/IN our/PRP$ trading/NN
our/PRP$ exports/NNS on/IN them/PRP
the/DT state/NN on/IN durango/NN of/IN
join/VB me/PRP on/IN supporting/VBG our/PRP$
the/DT passage/NN on/IN this/DT important/JJ
the/DT efforts/NNS on/IN mr/NN butterfield/NN
i/FW rise/NN on/IN opposition/NN to/TO
not/RB worthy/JJ on/IN this/DT house/NN
the/DT values/NNS on/IN the/DT american/JJ
both/DT sides/NNS on/IN the/DT aisle/NN
funding/NN cuts/NNS on/IN this/DT bill/NN
a/DT promise/NN on/IN hope/NN and/CC
for/IN all/DT on/IN its/PRP$ people/NNS
that/WDT exist/VBP on/IN america/NN s/VBZ
the/DT future/NN on/IN this/DT nation/NN
the/DT size/NN on/IN the/DT pell/NN
is/VBZ guilty/JJ on/IN putting/VBG that/DT
the/DT needs/NNS on/IN the/DT majority/NN
the/DT cities/NNS on/IN riverdale/NN and/CC
of/IN funding/NN on/IN cdbg/NN
in/IN behalf/NN on/IN the/DT congressional/JJ
this/DT amendment/NN on/IN the/DT nature/NN
and/CC methods/NNS on/IN tax/NN avoidance/NN
the/DT repeal/NN on/IN the/DT limitation/NN
the/DT repeal/NN on/IN the/DT limitation/NN
the/DT phaseout/NN on/IN personal/JJ exemptions/NNS
gt/NN buildingmaintenance/NN on/IN navy/NN ships/NNS
for/IN purposes/NNS on/IN homeland/NN security/NN
nuclearradiological/JJ weapons/NNS on/IN cargo/NN containers/NNS
do/VBP so/RB on/IN light/NN in/IN
the/DT growth/NN on/IN innumerable/JJ small/JJ
because/IN even/RB on/IN a/DT time/NN
a/DT time/NN on/IN tight/JJ budgets/NNS
the/DT legacy/NN on/IN america/NN s/VBZ
very/RB much/RB on/IN this/DT overall/JJ
a/DT veteran/NN on/IN the/DT united/VBN
alan/JJ greenspan/NN on/IN the/DT federal/JJ
spending/NN side/NN on/IN the/DT ledger/NN
well/RB instead/RB on/IN being/VBG here/RB
all/DT on/IN those/DT acts/NNS
deficit/NN billion/CD on/IN billion/CD of/IN
for/IN renewal/NN on/IN the/DT and/CC
care/NN program/NN on/IN last/JJ resort/NN
find/VB billion/CD on/IN savings/NNS here/RB
not/RB billion/CD on/IN these/DT proposals/NNS
